Scheepsnaam;Handling;Terminal;Port of discharge;Consignmentnr;Kind of package;Shipping Name;UNO;IMO;Flashpoint;Packaging Group;Equipment number;Stowage position;Quantity in container;Weight in container
Erasmus 1;Transit;Terminal 1;Amsterdam;49284198;Rectangular Tank;RESIN SOLUTION;1710;8;15;Medium danger;PBAU6073165;060884;4618;48748000
Erasmus 1;Discharge;Terminal 1;Amsterdam;75447458;Rectangular Tank;CORROSIVE SOLID, ACIDIC, ORGANIC, N.O.S.;2512;3;15;Medium danger;PBAU8970154;060984;3351;19565000
Erasmus 1;Transit;Terminal 1;Amsterdam;80474579;Rectangular Tank;PENTANE 2,4 DIONE;2512;3;60;Great danger;PBAU1572465;061084;9960;80594000
Erasmus 1;Discharge;Terminal 1;Amsterdam;10186060;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;2512;61;12;Medium danger;PBAU6417249;060186;7461;2617000
Erasmus 1;Discharge;Terminal 1;Amsterdam;97982075;Rectangular Tank;PENTANE 2,4 DIONE;2734;3;0;Medium danger;PBAU1705360;060286;691;70155000
Erasmus 1;Transit;Terminal 1;Amsterdam;36875909;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);3082;3;38;Medium danger;PBAU7029492;060386;4665;11218000
Erasmus 1;Transit;Terminal 1;Amsterdam;66102151;Rectangular Tank;FORMIC ACID;1944;3;0;Medium danger;PBAU8745464;060486;7259;90934000
Erasmus 1;Discharge;Terminal 1;Amsterdam;84621426;Rectangular Tank;PERFUMERY PRODUCTS;3487;9;15;Medium danger;PBAU4744230;060586;7755;20380000
Erasmus 1;Discharge;Terminal 1;Amsterdam;94622237;Rectangular Tank;SULPHURIC ACID;2329;3;118;Minor danger;PBAU7360435;060686;9255;16301000
Erasmus 1;Discharge;Terminal 1;Amsterdam;13582935;Rectangular Tank;PERFUMERY PRODUCTS;3082;3;46;Medium danger;PBAU5840112;060786;7074;9025000
Erasmus 1;Transit;Terminal 1;Amsterdam;26982878;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;1992;9;15;Medium danger;PBAU2517759;060886;7645;35587000
Erasmus 1;Transit;Terminal 1;Amsterdam;83872974;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);2924;3;15;Minor danger;PBAU3457987;060986;4742;96371000
Erasmus 1;Transit;Terminal 1;Amsterdam;72472698;Rectangular Tank;RESORCINOL;2874;3;24;Medium danger;PBAU5547635;061086;163;13814000
Erasmus 1;Discharge;Terminal 1;Amsterdam;14640421;Rectangular Tank;ESTERS, N.O.S.;1173;3;0;Medium danger;PBAU8513673;060188;6692;38668000
Erasmus 1;Transit;Terminal 1;Amsterdam;42010460;Rectangular Tank;RESORCINOL;1779;61;0;Medium danger;PBAU8852711;060288;9404;50000000
Erasmus 1;Discharge;Terminal 1;Amsterdam;22313719;Rectangular Tank;DIPENTENE;1866;8;15;Medium danger;PBAU8104071;060388;2875;58909000
Erasmus 1;Discharge;Terminal 1;Amsterdam;68850919;Rectangular Tank;PERFUMERY PRODUCTS;3082;8;0;Medium danger;PBAU2881298;060488;5948;46412000
Erasmus 1;Discharge;Terminal 1;Amsterdam;81454633;Rectangular Tank;TRICHLOROETHYLENE;2512;3;0;Great danger;PBAU4288287;060588;124;65600000
Erasmus 1;Transit;Terminal 1;Amsterdam;83908696;Rectangular Tank;FORMIC ACID;2524;3;12;Medium danger;PBAU9684486;060688;2841;82664000
Erasmus 1;Transit;Terminal 1;Amsterdam;81862272;Rectangular Tank;FURFURYL ALCOHOL;2512;3;27;Minor danger;PBAU3839834;060788;6113;99016000
Erasmus 1;Discharge;Terminal 1;Amsterdam;94269455;Rectangular Tank;FLAMMABLE LIQUID, CORROSIVE, N.O.S.;1193;3;27;Minor danger;PBAU9782872;060888;7333;6848000
Erasmus 1;Discharge;Terminal 1;Amsterdam;89939850;Rectangular Tank;AMINES, LIQUID, CORROSIVE, FLAMMABLE, N.O.S.;3082;3;12;Minor danger;PBAU6723675;060988;5769;69804000
Erasmus 1;Transit;Terminal 1;Amsterdam;23251270;Rectangular Tank;RESORCINOL;1866;61;0;Medium danger;PBAU5713653;061088;8025;71098000
Erasmus 1;Discharge;Terminal 1;Amsterdam;49281530;Rectangular Tank;RESIN SOLUTION;1993;61;0;Minor danger;PBAU1795279;060190;2216;75537000
Erasmus 1;Transit;Terminal 1;Amsterdam;11091969;Rectangular Tank;PHOSPHORUS PENTOXIDE;2929;8;0;Great danger;PBAU9242417;060290;3822;520000
Erasmus 1;Discharge;Terminal 1;Amsterdam;61062445;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;2922;3;0;Great danger;PBAU5585567;060390;9884;88819000
Erasmus 1;Discharge;Terminal 1;Amsterdam;10824533;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;1993;61;0;Medium danger;PBAU7792859;060490;798;74343000
Erasmus 1;Transit;Terminal 1;Amsterdam;10064349;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);1814;8;0;Medium danger;PBAU7382860;060590;311;40023000
Erasmus 1;Discharge;Terminal 1;Amsterdam;39767140;Rectangular Tank;PERFUMERY PRODUCTS;1903;61;0;Medium danger;PBAU8566929;060690;6046;59502000
Erasmus 1;Transit;Terminal 1;Amsterdam;13059071;Rectangular Tank;AMINOPHENOLS;3378;3;0;Minor danger;PBAU2883095;060790;2772;8435000
Erasmus 1;Transit;Terminal 1;Amsterdam;34006380;Rectangular Tank;POTASSIUM HYDROXIDE SOLUTION;3082;3;0;Medium danger;PBAU9253121;060890;9428;85722000
Erasmus 1;Discharge;Terminal 1;Amsterdam;37193597;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);1779;61;46;Minor danger;PBAU4382985;060990;5218;37633000
Erasmus 1;Transit;Terminal 1;Amsterdam;36403805;Rectangular Tank;PERFUMERY PRODUCTS;1193;8;46;Medium danger;PBAU1728866;061090;1141;25215000
Erasmus 1;Transit;Terminal 1;Amsterdam;73574258;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);2876;61;118;Medium danger;PBAU5525589;060192;5292;29106000
Erasmus 1;Discharge;Terminal 1;Amsterdam;80275351;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;1866;61;0;Minor danger;PBAU5603414;060292;8303;99052000
Erasmus 1;Transit;Terminal 1;Amsterdam;51658144;Rectangular Tank;ETHYL ACETATE;2922;3;0;Medium danger;PBAU4161961;060392;8386;56573000
Erasmus 1;Discharge;Terminal 1;Amsterdam;16478899;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;1173;3;0;Minor danger;PBAU5784338;060492;1420;38476000
Erasmus 1;Discharge;Terminal 1;Amsterdam;42824893;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1807;8;30;Medium danger;PBAU4624890;060592;9310;15912000
Erasmus 1;Discharge;Terminal 1;Amsterdam;45042111;Rectangular Tank;PHOSPHORUS PENTOXIDE;2259;8;12;Great danger;PBAU5779313;060692;8178;78615000
Erasmus 1;Discharge;Terminal 1;Amsterdam;22898271;Rectangular Tank;MATCHES, SAFETY;3261;8;0;Medium danger;PBAU2862976;060792;6119;21895000
Erasmus 1;Transit;Terminal 1;Amsterdam;12153860;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1199;3;60;Minor danger;PBAU5108706;060892;9341;95474000
Erasmus 1;Discharge;Terminal 1;Amsterdam;74242439;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);1173;3;0;Minor danger;PBAU7114972;060992;2897;87676000
Erasmus 1;Discharge;Terminal 1;Amsterdam;40518875;Rectangular Tank;ESTERS, N.O.S.;3378;61;0;Medium danger;PBAU8948955;061092;2488;62948000
Erasmus 1;Discharge;Terminal 1;Amsterdam;26964792;Rectangular Tank;AMINES, LIQUID, CORROSIVE, FLAMMABLE, N.O.S.;3272;8;118;Great danger;PBAU8244176;060194;3554;91505000
Erasmus 1;Transit;Terminal 1;Amsterdam;60619910;Rectangular Tank;TRICHLOROETHYLENE;3082;3;27;Medium danger;PBAU9860403;060294;5450;6287000
Erasmus 1;Transit;Terminal 1;Amsterdam;36858485;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;1760;8;13;Medium danger;PBAU1123285;060394;629;68911000
Erasmus 1;Transit;Terminal 1;Amsterdam;75962952;Rectangular Tank;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;2329;3;45;Medium danger;PBAU7371595;060494;2918;29539000
Erasmus 1;Transit;Terminal 1;Amsterdam;11480961;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;3302;8;15;Medium danger;PBAU8655853;060594;8345;9498000
Erasmus 1;Discharge;Terminal 1;Amsterdam;74444001;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;2310;8;0;Medium danger;PBAU1501854;060694;8094;95605000
Erasmus 1;Transit;Terminal 1;Amsterdam;10550659;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1944;3;0;Medium danger;PBAU3628901;060794;1048;44507000
Erasmus 1;Discharge;Terminal 1;Amsterdam;11360646;Rectangular Tank;ESTERS, N.O.S.;1807;3;0;Medium danger;PBAU5883335;060894;5011;14958000
Erasmus 1;Transit;Terminal 1;Amsterdam;51357337;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;3261;51;45;Medium danger;PBAU1195249;060994;1914;86032000
Erasmus 1;Transit;Terminal 1;Amsterdam;88043310;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;3378;3;15;Medium danger;PBAU6919323;061094;2453;32448000
Erasmus 1;Discharge;Terminal 1;Amsterdam;50512047;Rectangular Tank;RESIN SOLUTION;3265;8;0;Great danger;PBAU1795792;060196;230;61385000
Erasmus 1;Transit;Terminal 1;Amsterdam;75576587;Rectangular Tank;FURFURYL ALCOHOL;1944;3;0;Minor danger;PBAU7965285;060296;3333;6009000
Erasmus 1;Transit;Terminal 1;Amsterdam;39968738;Rectangular Tank;AMINOPHENOLS;1807;9;0;Medium danger;PBAU4213389;060396;7675;26971000
Erasmus 1;Discharge;Terminal 1;Amsterdam;38501217;Rectangular Tank;TRIMETHYL PHOSPHITE;1992;3;0;Medium danger;PBAU8105951;060496;2384;99217000
Erasmus 1;Discharge;Terminal 1;Amsterdam;37567824;Rectangular Tank;SULPHURIC ACID;1779;61;45;Medium danger;PBAU3147166;060596;694;12885000
Erasmus 1;Discharge;Terminal 1;Amsterdam;55046830;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;2310;8;45;Medium danger;PBAU5512078;060696;7497;23188000
Erasmus 1;Discharge;Terminal 1;Amsterdam;69963157;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;1866;8;0;Medium danger;PBAU4402026;060796;9093;2702000
Erasmus 1;Transit;Terminal 1;Amsterdam;13368223;Rectangular Tank;ETHYL ORTHOFORMATE;3378;3;0;Medium danger;PBAU5707672;060896;3078;56347000
Erasmus 1;Discharge;Terminal 1;Amsterdam;89018837;Rectangular Tank;TRIMETHYL PHOSPHITE;3082;3;0;Medium danger;PBAU2008245;060996;3674;68488000
Erasmus 1;Transit;Terminal 1;Amsterdam;29110279;Rectangular Tank;BROMOPROPANES;1993;3;0;Medium danger;PBAU3207329;061096;1890;32987000
Erasmus 1;Transit;Terminal 1;Amsterdam;94099251;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;2344;61;24;Medium danger;PBAU9849656;060198;1717;60072000
Erasmus 1;Transit;Terminal 1;Amsterdam;84372369;Rectangular Tank;PENTANE 2,4 DIONE;2310;3;0;Medium danger;PBAU7137711;060298;5504;66407000
Erasmus 1;Transit;Terminal 1;Amsterdam;38731868;Rectangular Tank;FLAMMABLE LIQUID, N.O.S.;2929;3;13;Medium danger;PBAU5759584;060398;5733;63374000
Erasmus 1;Discharge;Terminal 1;Amsterdam;18012937;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;2796;8;0;Minor danger;PBAU3206958;060498;1501;17409000
Erasmus 1;Transit;Terminal 1;Amsterdam;10807390;Rectangular Tank;RESORCINOL;1866;8;45;Great danger;PBAU8681194;060598;9604;42162000
Erasmus 1;Discharge;Terminal 1;Amsterdam;37313667;Rectangular Tank;ESTERS, N.O.S.;2524;3;0;Minor danger;PBAU1942054;060698;9057;6150000
Erasmus 1;Discharge;Terminal 1;Amsterdam;49254387;Rectangular Tank;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;2524;61;0;Medium danger;PBAU2938799;060798;2682;79515000
Erasmus 1;Transit;Terminal 1;Amsterdam;21999277;Rectangular Tank;ETHYL ORTHOFORMATE;3302;8;0;Medium danger;PBAU3195363;060898;2713;7316000
Erasmus 1;Discharge;Terminal 1;Amsterdam;22972830;Rectangular Tank;FORMIC ACID;1266;9;0;Medium danger;PBAU8281791;060998;2631;59230000
Erasmus 1;Discharge;Terminal 1;Amsterdam;49968978;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;2512;3;0;Minor danger;PBAU4621187;061098;3893;31095000
Erasmus 1;Transit;Terminal 1;Amsterdam;82306019;Rectangular Tank;FORMIC ACID;1992;9;15;Great danger;PBAU3865488;070182;6206;10953000
Erasmus 1;Transit;Terminal 1;Amsterdam;71187907;Rectangular Tank;POTASSIUM HYDROXIDE SOLUTION;1814;41;15;Minor danger;PBAU3324402;070282;9057;45776000
Erasmus 1;Discharge;Terminal 1;Amsterdam;71487273;Rectangular Tank;CORROSIVE SOLID, ACIDIC, ORGANIC, N.O.S.;1173;3;0;Great danger;PBAU4988530;070382;2341;58100000
Erasmus 1;Discharge;Terminal 1;Amsterdam;97888031;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;3261;61;0;Minor danger;PBAU4627174;070482;5278;76415000
Erasmus 1;Discharge;Terminal 1;Amsterdam;16820825;Rectangular Tank;PENTANE 2,4 DIONE;1266;41;0;Minor danger;PBAU5559946;070582;4361;25522000
Erasmus 1;Discharge;Terminal 1;Amsterdam;40661157;Rectangular Tank;CRESOLS, SOLID;2876;3;15;Minor danger;PBAU9184123;070682;6975;27063000
Erasmus 1;Discharge;Terminal 1;Amsterdam;39556468;Rectangular Tank;AMINOPHENOLS;2344;8;0;Minor danger;PBAU8857155;070782;3313;4753000
Erasmus 1;Discharge;Terminal 1;Amsterdam;51829115;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1266;51;30;Medium danger;PBAU8188489;070882;309;82043000
Erasmus 1;Transit;Terminal 1;Amsterdam;35849470;Rectangular Tank;FLAMMABLE LIQUID, N.O.S.;2796;8;0;Medium danger;PBAU9306790;070982;8979;61332000
Erasmus 1;Transit;Terminal 1;Amsterdam;68454873;Rectangular Tank;ESTERS, N.O.S.;2924;3;15;Medium danger;PBAU2339032;071082;511;67467000
Erasmus 1;Transit;Terminal 1;Amsterdam;76388332;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;3265;61;0;Minor danger;PBAU4194237;070184;6222;89001000
Erasmus 1;Discharge;Terminal 1;Amsterdam;14705806;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);1219;3;15;Medium danger;PBAU1948566;070284;9144;43663000
Erasmus 1;Discharge;Terminal 1;Amsterdam;91203616;Rectangular Tank;SULPHURIC ACID;1760;3;7;Great danger;PBAU5258270;070384;4518;48980000
Erasmus 1;Discharge;Terminal 1;Amsterdam;41134059;Rectangular Tank;RESIN SOLUTION;3378;8;24;Medium danger;PBAU6564604;070484;524;13450000
Erasmus 1;Discharge;Terminal 1;Amsterdam;21253390;Rectangular Tank;TRIMETHYL PHOSPHITE;1993;61;46;Great danger;PBAU8455256;070584;7296;90286000
Erasmus 1;Discharge;Terminal 1;Amsterdam;89743527;Rectangular Tank;PHOSPHORUS PENTOXIDE;1710;3;0;Great danger;PBAU5116258;070684;958;24771000
Erasmus 1;Discharge;Terminal 1;Amsterdam;22337050;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;1266;3;24;Minor danger;PBAU5701129;070784;8789;52263000
Erasmus 1;Transit;Terminal 1;Amsterdam;73275064;Rectangular Tank;DIPENTENE;2734;61;0;Minor danger;PBAU9704867;070884;4983;59114000
Erasmus 1;Transit;Terminal 1;Amsterdam;93782307;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;2874;8;27;Medium danger;PBAU2197953;070984;1722;7847000
Erasmus 1;Discharge;Terminal 1;Amsterdam;68901793;Rectangular Tank;ETHYL ORTHOFORMATE;1903;8;0;Medium danger;PBAU2514898;071084;2990;17222000
Erasmus 1;Discharge;Terminal 1;Amsterdam;32374624;Rectangular Tank;CORROSIVE SOLID, ACIDIC, ORGANIC, N.O.S.;2929;61;15;Minor danger;PBAU5087831;070186;2339;81850000
Erasmus 1;Discharge;Terminal 1;Amsterdam;81579278;Rectangular Tank;CORROSIVE SOLID, ACIDIC, ORGANIC, N.O.S.;3455;51;27;Medium danger;PBAU4187420;070286;1412;41398000
Erasmus 1;Transit;Terminal 1;Amsterdam;25437644;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;1903;3;24;Minor danger;PBAU3233771;070386;8774;46199000
Erasmus 1;Discharge;Terminal 1;Amsterdam;48982592;Rectangular Tank;ETHYL ACETATE;3487;3;0;Medium danger;PBAU5827845;070486;3213;19605000
Erasmus 1;Discharge;Terminal 1;Amsterdam;69166354;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;3378;3;0;Medium danger;PBAU1161403;070586;4653;60206000
Erasmus 1;Transit;Terminal 1;Amsterdam;88098724;Rectangular Tank;BROMOPROPANES;1219;8;0;Medium danger;PBAU2339294;070686;9271;20706000
Erasmus 1;Transit;Terminal 1;Amsterdam;62634512;Rectangular Tank;FORMIC ACID;2734;3;15;Medium danger;PBAU6694645;070786;3110;68012000
Erasmus 1;Discharge;Terminal 1;Amsterdam;87142398;Rectangular Tank;BROMOPROPANES;2876;8;12;Medium danger;PBAU9968225;070886;409;83266000
Erasmus 1;Discharge;Terminal 1;Amsterdam;24628932;Rectangular Tank;AMINES, LIQUID, CORROSIVE, FLAMMABLE, N.O.S.;2924;61;12;Medium danger;PBAU8047685;070986;903;96788000
Erasmus 1;Transit;Terminal 1;Amsterdam;84939472;Rectangular Tank;TRICHLOROETHYLENE;2259;8;15;Minor danger;PBAU2145108;071086;6788;87452000
Erasmus 1;Discharge;Terminal 1;Amsterdam;15643558;Rectangular Tank;ESTERS, N.O.S.;2734;3;7;Minor danger;PBAU1736178;070188;9332;95744000
Erasmus 1;Transit;Terminal 1;Amsterdam;91176829;Rectangular Tank;TRIETHYLENETETRAMINE;2512;3;0;Medium danger;PBAU3712068;070288;8353;39910000
Erasmus 1;Discharge;Terminal 1;Amsterdam;40963534;Rectangular Tank;FURFURYL ALCOHOL;3378;8;60;Medium danger;PBAU9265879;070388;3643;7483000
Erasmus 1;Discharge;Terminal 1;Amsterdam;23056158;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;1992;61;12;Medium danger;PBAU9978796;070488;9927;26874000
Erasmus 1;Discharge;Terminal 1;Amsterdam;39180716;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1266;3;15;Medium danger;PBAU5632682;070588;2328;12882000
Erasmus 1;Discharge;Terminal 1;Amsterdam;80135395;Rectangular Tank;TRIMETHYL PHOSPHITE;2924;8;0;Minor danger;PBAU4275397;070688;8662;79619000
Erasmus 1;Discharge;Terminal 1;Amsterdam;92484224;Rectangular Tank;ESTERS, N.O.S.;3082;3;15;Medium danger;PBAU9475216;070788;5821;61910000
Erasmus 1;Transit;Terminal 1;Amsterdam;82386508;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;1779;8;30;Medium danger;PBAU4687280;070888;3287;6018000
Erasmus 1;Transit;Terminal 1;Amsterdam;75981505;Rectangular Tank;ETHYL ACETATE;1807;8;13;Minor danger;PBAU1339614;070988;7711;53641000
Erasmus 1;Transit;Terminal 1;Amsterdam;18245402;Rectangular Tank;PERFUMERY PRODUCTS;2310;9;30;Minor danger;PBAU9920329;071088;3734;20605000
Erasmus 1;Discharge;Terminal 1;Amsterdam;80467235;Rectangular Tank;RESORCINOL;1710;3;12;Medium danger;PBAU7526703;070190;3219;24029000
Erasmus 1;Discharge;Terminal 1;Amsterdam;19945567;Rectangular Tank;BROMOPROPANES;1903;3;7;Medium danger;PBAU5336338;070290;8592;34086000
Erasmus 1;Transit;Terminal 1;Amsterdam;59195641;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;2344;3;0;Medium danger;PBAU2008783;070390;7183;43370000
Erasmus 1;Transit;Terminal 1;Amsterdam;55279441;Rectangular Tank;BROMOPROPANES;2259;8;0;Medium danger;PBAU1646905;070490;1039;72849000
Erasmus 1;Transit;Terminal 1;Amsterdam;21516857;Rectangular Tank;ESTERS, N.O.S.;2524;3;0;Minor danger;PBAU3927291;070590;1624;16147000
Erasmus 1;Discharge;Terminal 1;Amsterdam;21243875;Rectangular Tank;PERFUMERY PRODUCTS;2344;8;0;Minor danger;PBAU8982435;070690;7371;22681000
Erasmus 1;Transit;Terminal 1;Amsterdam;42270126;Rectangular Tank;FLAMMABLE LIQUID, N.O.S.;1219;3;0;Minor danger;PBAU9211612;070790;209;5546000
Erasmus 1;Transit;Terminal 1;Amsterdam;24307726;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1266;8;15;Minor danger;PBAU6756573;070890;9913;24493000
Erasmus 1;Transit;Terminal 1;Amsterdam;41283208;Rectangular Tank;CORROSIVE SOLID, ACIDIC, ORGANIC, N.O.S.;2874;3;13;Medium danger;PBAU1033397;070990;8722;5741000
Erasmus 1;Discharge;Terminal 1;Amsterdam;92216129;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;1219;3;0;Medium danger;PBAU8448878;071090;8391;7584000
Erasmus 1;Transit;Terminal 1;Amsterdam;22959342;Rectangular Tank;TRIMETHYL PHOSPHITE;2259;3;13;Great danger;PBAU1009913;070192;6399;42336000
Erasmus 1;Transit;Terminal 1;Amsterdam;97548804;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);3455;61;0;Medium danger;PBAU5048463;070292;7482;26858000
Erasmus 1;Transit;Terminal 1;Amsterdam;16341300;Rectangular Tank;BROMOPROPANES;3261;3;0;Minor danger;PBAU5507434;070392;5;80320000
Erasmus 1;Transit;Terminal 1;Amsterdam;10275962;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;2922;3;46;Medium danger;PBAU8584387;070492;2824;557000
Erasmus 1;Transit;Terminal 1;Amsterdam;43308767;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1199;3;0;Great danger;PBAU8582012;070592;4993;87982000
Erasmus 1;Discharge;Terminal 1;Amsterdam;70415367;Rectangular Tank;AMINOPHENOLS;1779;3;0;Medium danger;PBAU4066378;070692;4184;30170000
Erasmus 1;Discharge;Terminal 1;Amsterdam;32150202;Rectangular Tank;FLAMMABLE LIQUID, N.O.S.;1814;3;15;Medium danger;PBAU9820010;070792;8052;67312000
Erasmus 1;Discharge;Terminal 1;Amsterdam;60947575;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;1760;61;0;Medium danger;PBAU6320669;070892;8038;29503000
Erasmus 1;Transit;Terminal 1;Amsterdam;98358108;Rectangular Tank;FLAMMABLE LIQUID, N.O.S.;2259;9;24;Minor danger;PBAU3067901;070992;4476;19999000
Erasmus 1;Transit;Terminal 1;Amsterdam;73226403;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);2796;3;13;Medium danger;PBAU5742738;071092;7319;26572000
Erasmus 1;Discharge;Terminal 1;Amsterdam;13408603;Rectangular Tank;BROMOPROPANES;1814;3;0;Medium danger;PBAU4028710;070194;9787;23075000
Erasmus 1;Transit;Terminal 1;Amsterdam;56137418;Rectangular Tank;ETHYL ORTHOFORMATE;2259;51;0;Medium danger;PBAU8919474;070294;2144;68213000
Erasmus 1;Transit;Terminal 1;Amsterdam;94827025;Rectangular Tank;ETHYL ORTHOFORMATE;1710;3;0;Medium danger;PBAU2680401;070394;480;16182000
Erasmus 1;Transit;Terminal 1;Amsterdam;26175710;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;2524;3;0;Minor danger;PBAU2577530;070494;4482;802000
Erasmus 1;Transit;Terminal 1;Amsterdam;62842661;Rectangular Tank;PHOSPHORUS PENTOXIDE;2929;3;0;Medium danger;PBAU3708045;070594;6344;36641000
Erasmus 1;Discharge;Terminal 1;Amsterdam;54058133;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;2344;3;12;Medium danger;PBAU4886007;070694;7541;16788000
Erasmus 1;Discharge;Terminal 1;Amsterdam;38537512;Rectangular Tank;TRIMETHYL PHOSPHITE;1903;61;0;Minor danger;PBAU9988464;070794;501;42907000
Erasmus 1;Discharge;Terminal 1;Amsterdam;16237866;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);2929;3;0;Medium danger;PBAU3839468;070894;1862;98374000
Erasmus 1;Discharge;Terminal 1;Amsterdam;85675074;Rectangular Tank;FURFURYL ALCOHOL;1173;8;0;Minor danger;PBAU8284021;070994;2433;79441000
Erasmus 1;Discharge;Terminal 1;Amsterdam;56150366;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);2924;3;0;Minor danger;PBAU4905878;071094;8543;81851000
Erasmus 1;Discharge;Terminal 1;Amsterdam;25018690;Rectangular Tank;PHOSPHORUS PENTOXIDE;2929;8;118;Minor danger;PBAU1955189;070196;8989;91148000
Erasmus 1;Transit;Terminal 1;Amsterdam;27093589;Rectangular Tank;PHOSPHORUS PENTOXIDE;2734;8;0;Great danger;PBAU6462679;070296;8411;98412000
Erasmus 1;Transit;Terminal 1;Amsterdam;85967115;Rectangular Tank;RESIN SOLUTION;1807;3;15;Minor danger;PBAU2361793;070396;6716;93686000
Erasmus 1;Discharge;Terminal 1;Amsterdam;33173889;Rectangular Tank;FURALDEHYDES;3302;61;30;Minor danger;PBAU4120904;070496;6994;85951000
Erasmus 1;Discharge;Terminal 1;Amsterdam;78486345;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;3487;61;0;Medium danger;PBAU6856416;070596;4519;90288000
Erasmus 1;Discharge;Terminal 1;Amsterdam;72242003;Rectangular Tank;TRICHLOROETHYLENE;3082;61;0;Medium danger;PBAU9955867;070696;1885;11104000
Erasmus 1;Discharge;Terminal 1;Amsterdam;91581290;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);3261;8;0;Medium danger;PBAU8901953;070796;2216;65628000
Erasmus 1;Discharge;Terminal 1;Amsterdam;47625004;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;2796;41;0;Minor danger;PBAU4813178;070896;489;79504000
Erasmus 1;Transit;Terminal 1;Amsterdam;99772498;Rectangular Tank;ESTERS, N.O.S.;1866;61;0;Minor danger;PBAU6318203;070996;2829;95798000
Erasmus 1;Transit;Terminal 1;Amsterdam;63543852;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;1779;8;13;Medium danger;PBAU9534393;071096;5053;87684000
